,ja_intro,en_categories,title,language,link
24,蔣 介石（蒋 介石、しょう かいせき、チャン・チェシー、1887年10月31日〈光緒13年9月15日〉 - 1975年〈民国64年〉4月5日）は、中華民国の政治家、軍人。第3・5代国民政府主席、初代中華民国総統、中国国民党永久総裁。国民革命軍・中華民国国軍における最終階級は特級上将（大元帥に相当）。浙江省寧波府奉化県（現：寧波市奉化区）出身。日本や中華人民共和国では蔣介石の呼び名で知られているが、中華民国（台湾）では蔣中正（しょう ちゅうせい）の名称が一般的である。孫文の後継者として北伐を完遂し、中華民国の統一を果たして同国の最高指導者となる。第二次世界大戦では同国を四大国の一角にさせ、連合国中国戦区最高統帥だった。しかし、戦後の国共内戦で毛沢東率いる中国共産党に敗れて1949年に台湾へ移り、大陸支配を回復することなく、1975年に台北で死没。その死まで同国の元首たる中華民国総統の地位にあり続けた。,Category:1887 births|Category:1975 deaths|Category:20th-century Chinese heads of government|Category:20th-century Chinese military personnel|Category:20th-century Chinese politicians|Category:20th-century presidents in Asia|Category:All articles needing additional references|Category:All articles with unsourced statements|Category:Articles containing Chinese-language text|Category:Articles containing French-language text|Category:Articles containing German-language text|Category:Articles containing Italian-language text|Category:Articles containing simplified Chinese-language text|Category:Articles containing traditional Chinese-language text|Category:Articles needing additional references from October 2018|Category:Articles with hAudio microformats|Category:Articles with short description|Category:Articles with unsourced statements from July 2023|Category:Articles with unsourced statements from November 2021|Category:Baoding Military Academy cadets|Category:CS1: long volume value|Category:CS1 Chinese-language sources (zh)|Category:CS1 Chinese (Taiwan)-language sources (zh-tw)|Category:CS1 maint: archived copy as title|Category:CS1 maint: bot: original URL status unknown|Category:CS1 maint: location missing publisher|Category:CS1 uses Chinese-language script (zh)|Category:Chiang Kai-shek|Category:Chinese Christians|Category:Chinese Methodists|Category:Chinese Nationalist heads of state|Category:Chinese anti-capitalists|Category:Chinese anti-communists|Category:Chinese diarists|Category:Chinese military personnel of World War II|Category:Chinese nationalists|Category:Chinese revolutionaries|Category:Conservatism in China|Category:Conservatism in Taiwan|Category:Converts to Christianity from Buddhism|Category:Converts to Methodism|Category:Deaths from kidney failure|Category:Deified Chinese men|Category:Far-right politics in Taiwan|Category:Foreign recipients of the Legion of Merit|Category:Foreign supporters of Korean independence|Category:Generalissimos|Category:Honorary Knights Grand Cross of the Order of the Bath|Category:Imperial Japanese Army officers|Category:Kidnapped Chinese people|Category:Kuomintang politicians in Taiwan|Category:Kuomintang presidential nominees|Category:Marshals of China|Category:Pages using Sister project links with default search|Category:Pages using template Zh with sup tags|Category:Pages using the Phonos extension|Category:People of the 1911 Revolution|Category:People of the Central Plains War|Category:People of the Chinese Civil War|Category:People of the Northern Expedition|Category:Political repression in Taiwan|Category:Politicians from Ningbo|Category:Politicide perpetrators|Category:Premiers of the Republic of China|Category:Presidents of the Republic of China on Taiwan|Category:Recipients of the Grand Order of Mugunghwa|Category:Recipients of the Order of Isabella the Catholic|Category:Recipients of the Order of Merit for National Foundation|Category:Recipients of the Order of Saints Maurice and Lazarus|Category:Recipients of the Order of the Sacred Tripod|Category:Recipients of the Order of the Sun of Peru|Category:Recipients of the Order of the White Lion|Category:Republic of China politicians from Zhejiang|Category:Short description matches Wikidata|Category:Taiwanese anti-communists|Category:Taiwanese people from Zhejiang|Category:Time Person of the Year|Category:Tongmenghui members|Category:Use dmy dates from December 2024|Category:Webarchive template wayback links|Category:Wikipedia articles needing factual verification from October 2023|Category:World War II political leaders,Chiang Kai-shek,ja,https://ja.wikipedia.org/wiki/%E8%94%A3%E4%BB%8B%E7%9F%B3
25,"ケイト・ウィンスレット, CBE（Kate Winslet, CBE, 1975年10月5日 - ）は、イギリスの女優。7度のアカデミー賞ノミネート経験を持つ実力派女優として知られ、第81回アカデミー賞では『愛を読むひと』で主演女優賞を受賞した。","Category:1975 births|Category:20th-century English actresses|Category:21st-century English actresses|Category:Actors educated at Redroofs Theatre School|Category:Actresses from Reading, Berkshire|Category:All articles containing potentially dated statements|Category:Articles containing potentially dated statements from 2015|Category:Articles with hCards|Category:Articles with short description|Category:Audiobook narrators|Category:Autism activists|Category:Best Actress AACTA Award winners|Category:Best Actress Academy Award winners|Category:Best Actress BAFTA Award (television) winners|Category:Best Actress BAFTA Award winners|Category:Best Drama Actress Golden Globe (film) winners|Category:Best Miniseries or Television Movie Actress Golden Globe winners|Category:Best Supporting Actress BAFTA Award winners|Category:Best Supporting Actress Golden Globe (film) winners|Category:Biography with signature|Category:CS1 Spanish-language sources (es)|Category:Commanders of the Order of the British Empire|Category:César Honorary Award recipients|Category:English child actresses|Category:English expatriate actresses in the United States|Category:English film actresses|Category:English health activists|Category:English musical theatre actresses|Category:English people of Irish descent|Category:English people of Swedish descent|Category:English philanthropists|Category:English stage actresses|Category:English television actresses|Category:English television producers|Category:English video game actresses|Category:English voice actresses|Category:English women activists|Category:English women television producers|Category:European Film Award for Best Actress winners|Category:Featured articles|Category:Grammy Award winners|Category:Kate Winslet|Category:Living people|Category:National Youth Theatre members|Category:Outstanding Performance by a Female Actor in a Miniseries or Television Movie Screen Actors Guild Award winners|Category:Outstanding Performance by a Female Actor in a Supporting Role Screen Actors Guild Award winners|Category:Outstanding Performance by a Lead Actress in a Miniseries or Movie Primetime Emmy Award winners|Category:Pages using Sister project links with hidden wikidata|Category:Pages using Sister project links with wikidata namespace mismatch|Category:Short description is different from Wikidata|Category:TCMDb name template using non-numeric ID from Wikidata|Category:Use British English from December 2024|Category:Use dmy dates from November 2024|Category:Wikipedia indefinitely semi-protected biographies of living people",Kate Winslet,ja,https://ja.wikipedia.org/wiki/%E3%82%B1%E3%82%A4%E3%83%88%E3%83%BB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B9%E3%83%AC%E3%83%83%E3%83%88
26,"チャンドリカ・バンダラナイケ・クマーラトゥンガ（シンハラ語: චන්ද්‍රිකා බන්ඩාරනායක කුමාරතුංග, タミル語: சந்திரிக்கா பண்டாரநாயக்க குமாரதுங்க, 英語: Chandrika Bandaranaike Kumaratunga, 1945年6月29日 - ）は、スリランカの政治家。第5代大統領（在任: 1994年 - 2005年）。","Category:1945 births|Category:20th-century Sri Lankan women politicians|Category:20th-century women presidents|Category:20th-century women prime ministers|Category:21st-century Sri Lankan women politicians|Category:21st-century women presidents|Category:All articles lacking in-text citations|Category:Alumni of Aquinas College of Higher Studies|Category:Alumni of St. Bridget's Convent, Colombo|Category:Articles containing Sinhala-language text|Category:Articles containing Tamil-language text|Category:Articles lacking in-text citations from June 2020|Category:Articles with hCards|Category:Articles with short description|Category:Bandaranaike family|Category:Bandaranaike–Ratwatte family|Category:CS1 maint: multiple names: authors list|Category:Candidates in the 1994 Sri Lankan presidential election|Category:Candidates in the 1999 Sri Lankan presidential election|Category:Chief ministers of Western Province, Sri Lanka|Category:Children of prime ministers of Sri Lanka|Category:Commanders of the Legion of Honour|Category:Commons category link from Wikidata|Category:EngvarB from September 2013|Category:Failed assassination attempts in Sri Lanka|Category:Female defence ministers|Category:Female finance ministers|Category:Female interior ministers|Category:Finance ministers of Sri Lanka|Category:First women presidents in Asia|Category:Food and Agriculture Organization officials|Category:Living people|Category:Members of the 10th Parliament of Sri Lanka|Category:Members of the Western Provincial Council|Category:People from British Ceylon|Category:People from Colombo|Category:Presidents of Sri Lanka|Category:Prime ministers of Sri Lanka|Category:Ratwatte family|Category:Sciences Po alumni|Category:Short description matches Wikidata|Category:Sri Lankan Buddhists|Category:Sri Lankan officials of the United Nations|Category:Use dmy dates from January 2022|Category:Webarchive template wayback links|Category:Women legislators in Sri Lanka|Category:Women presidents in Asia|Category:Women prime ministers in Asia",Chandrika Kumaratunga,ja,https://ja.wikipedia.org/wiki/%E3%83%81%E3%83%A3%E3%83%B3%E3%83%89%E3%83%AA%E3%82%AB%E3%83%BB%E3%82%AF%E3%83%9E%E3%83%BC%E3%83%A9%E3%83%88%E3%82%A5%E3%83%B3%E3%82%AC
27,カリーナ・カプール （ヒンディー語: करीना कपूर खान・英: Kareena Kapoor Khan、1980年9月21日 - ）は、主にヒンディー語の映画に出演しているインドの女優。ムンバイ出身。祖父はラージ・カプール（俳優・プロデューサー・映画監督）。両親も元役者で、姉（カリシュマ・カプール）も女優という芸能一家。,Category:1980 births|Category:21st-century Indian actresses|Category:Actresses from Mumbai|Category:Actresses in Hindi cinema|Category:Actresses of European descent in Indian films|Category:Articles with hCards|Category:Articles with short description|Category:Bollywood Hungama person template using Wikidata property P7923|Category:EngvarB from May 2020|Category:Featured articles|Category:Filmfare Awards winners|Category:Harvard Summer School alumni|Category:Indian Hindus|Category:Indian Sindhi people|Category:Indian film actresses|Category:Indian people of English descent|Category:Indian voice actresses|Category:International Indian Film Academy Awards winners|Category:Kapoor family|Category:Living people|Category:Mithibai College alumni|Category:Pages using Sister project links with hidden wikidata|Category:Pages using Sister project links with wikidata namespace mismatch|Category:Pages with Hindustani IPA|Category:Saif Ali Khan|Category:Screen Awards winners|Category:Short description is different from Wikidata|Category:Tagore family|Category:UNICEF Goodwill Ambassadors|Category:Use dmy dates from June 2022|Category:Welham Girls' School alumni|Category:Wikipedia indefinitely semi-protected pages|Category:Zee Cine Awards winners,Kareena Kapoor Khan,ja,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%AA%E3%83%BC%E3%83%8A%E3%83%BB%E3%82%AB%E3%83%97%E3%83%BC%E3%83%AB
28,"アビシェーク・バッチャン（Abhishek Bachchan, अभिषेक बच्चन, 1976年2月5日 - ）は、インド・マハーラーシュトラ州出身の映画俳優。",Category:1976 births|Category:20th-century Bengalis|Category:20th-century Indian male actors|Category:21st-century Bengalis|Category:21st-century Indian male actors|Category:Actors with dyslexia|Category:All Wikipedia articles written in Indian English|Category:Alumni of Aiglon College|Category:Articles with hCards|Category:Articles with short description|Category:Bachchan family|Category:Biography with signature|Category:Bollywood Hungama person template using non-numeric ID|Category:Film producers from Mumbai|Category:Filmfare Awards winners|Category:Indian Hindus|Category:Indian game show hosts|Category:Indian male film actors|Category:Indian people with disabilities|Category:Indian television presenters|Category:International Indian Film Academy Awards winners|Category:Living people|Category:Male actors from Mumbai|Category:Male actors in Hindi cinema|Category:Mithibai College alumni|Category:Pages with Hindi IPA|Category:Screen Awards winners|Category:Short description matches Wikidata|Category:Use Indian English from January 2025|Category:Use dmy dates from January 2025|Category:Webarchive template wayback links|Category:Zee Cine Awards winners,Abhishek Bachchan,ja,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%93%E3%82%B7%E3%82%A7%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%90%E3%83%83%E3%83%81%E3%83%A3%E3%83%B3
29,"ジェニファー・シュレイダー・ローレンス（Jennifer Shrader Lawrence, 1990年8月15日 - ）は、アメリカ合衆国の女優。ジェニファーの一般的な愛称（Jennifer（given name）） である「ジェン」と呼ばれることが多く、一人称で用いることもある。","Category:1990 births|Category:21st-century American actresses|Category:Actresses from Louisville, Kentucky|Category:All Wikipedia articles written in American English|Category:All articles containing potentially dated statements|Category:American feminists|Category:American film actresses|Category:American philanthropists|Category:American television actresses|Category:Articles containing potentially dated statements from 2019|Category:Articles containing potentially dated statements from May 2019|Category:Articles with hCards|Category:Articles with short description|Category:Best Actress AACTA International Award winners|Category:Best Actress Academy Award winners|Category:Best Musical or Comedy Actress Golden Globe (film) winners|Category:Best Supporting Actress AACTA International Award winners|Category:Best Supporting Actress BAFTA Award winners|Category:Best Supporting Actress Golden Globe (film) winners|Category:Biography with signature|Category:CS1 French-language sources (fr)|Category:Featured articles|Category:Independent Spirit Award for Best Female Lead winners|Category:Living people|Category:Marcello Mastroianni Award winners|Category:Outstanding Performance by a Cast in a Motion Picture Screen Actors Guild Award winners|Category:Outstanding Performance by a Female Actor in a Leading Role Screen Actors Guild Award winners|Category:Pages using Sister project links with hidden wikidata|Category:Short description is different from Wikidata|Category:TCMDb name template using non-numeric ID from Wikidata|Category:Use American English from November 2020|Category:Use mdy dates from April 2024|Category:Wikipedia indefinitely semi-protected biographies of living people",Jennifer Lawrence,ja,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%82%A7%E3%83%8B%E3%83%95%E3%82%A1%E3%83%BC%E3%83%BB%E3%83%AD%E3%83%BC%E3%83%AC%E3%83%B3%E3%82%B9
30,"パーニニ（IAST: Pāṇini, デーヴァナーガリー: पाणिनि; ""パーニの子孫""の意）は、紀元前4世紀頃のインドの文法学者である。ガンダーラ（現在のパキスタン）出身。パーニニはサンスクリット文法学者であり、ヴェーダの補助学（ヴェーダーンガ）のひとつとして生まれた文法学（ヴィヤーカラナ）の体系を確立した。パーニニはアシュターディヤーイー（IAST: Aṣṭādhyāyī, デーヴァナーガリー: अष्टाध्यायी、「八つの章」の意。『パーニニ文典』とも呼ぶ）として知られる文法体系の中でサンスクリットの形態論を3959個の規則にまとめたことで名高い。アシュターディヤーイーは母音子音の文字表から語根からの語幹の派生法や複合語の分類及び品詞の活用などについて略記号を用いて古典サンスクリット語文法について詳解している。アシュターディヤーイーはサンスクリット文法についての最古のもののひとつとされているが、パーニニ自身はさらに古い3つの書（ウナーディスートラ、ダートゥパータ、ガナパータ）について言及している。アシュターディヤーイーは共時的言語学、生成言語学としての最古の研究として知られ、またそれとほぼ同じころの、ニルクタ（語源学）、ニガントゥ（類語辞典のようなもの）、シクシャー（音声学、音韻論）とともに言語学の歴史の始まりに位置する。パーニニによる、広範囲かつ科学的な文法理論は、伝統的に続いて来たヴェーダ語の終わりを記しづけ、同時に今日までに至るサンスクリットの始まりを告げるものである。2004年8月30日月曜日、インドの郵政省はパーニニをたたえる5ルピーの切手を発行した。",Category:All article disambiguation pages|Category:All disambiguation pages|Category:Disambiguation pages|Category:Disambiguation pages with surname-holder lists|Category:Short description is different from Wikidata,Panini,ja,https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%BC%E3%83%8B%E3%83%8B
31,"マドゥリ・ディークシット（ヒンディー語: , 英語: Madhuri Dixit  1967年5月15日 - ）は、インド出身の女優。",Category:1967 births|Category:20th-century Indian actresses|Category:21st-century Indian actresses|Category:Actresses from Mumbai|Category:Actresses in Hindi cinema|Category:All Wikipedia articles written in Indian English|Category:All articles to be expanded|Category:Articles to be expanded from January 2025|Category:Articles with hCards|Category:Articles with short description|Category:Biography with signature|Category:Bollywood Hungama person template using Wikidata property P7923|Category:CS1 maint: numeric names: authors list|Category:Filmfare Awards winners|Category:Indian emigrants to the United States|Category:Indian film actresses|Category:Living people|Category:Marathi actresses|Category:Pages with Sanskrit IPA|Category:Recipients of the Padma Shri in arts|Category:Screen Awards winners|Category:Short description is different from Wikidata|Category:UNICEF Goodwill Ambassadors|Category:Use Indian English from January 2025|Category:Use dmy dates from January 2025|Category:Wikipedia indefinitely semi-protected pages|Category:Zee Cine Awards winners,Madhuri Dixit,ja,https://ja.wikipedia.org/wiki/%E3%83%9E%E3%83%89%E3%82%A5%E3%83%AA%E3%83%BB%E3%83%87%E3%82%A3%E3%83%BC%E3%82%AF%E3%82%B7%E3%83%83%E3%83%88
32,リティク・ローシャン（ヒンディー語：ऋतिक रोशन，英語：Hrithik Roshan 1974年1月10日 - ）は、インドの俳優。主にボリウッドで活動している。過去フィルムフェア賞の最優秀主演男優部門で4度受賞。,Category:1974 births|Category:20th-century Indian male actors|Category:21st-century Indian male actors|Category:All Wikipedia articles written in Indian English|Category:Articles containing Hindi-language text|Category:Articles with hCards|Category:Articles with short description|Category:Bengali people|Category:Bollywood Hungama person template using non-numeric ID|Category:Dancers from Maharashtra|Category:Featured articles|Category:Filmfare Awards winners|Category:Indian male child actors|Category:Indian male dancers|Category:Indian male film actors|Category:International Indian Film Academy Awards winners|Category:Living people|Category:Male actors from Mumbai|Category:Male actors in Hindi cinema|Category:Pages with Hindi IPA|Category:People of Punjabi descent|Category:People with polydactyly|Category:Popping dancers|Category:Screen Awards winners|Category:Short description matches Wikidata|Category:Use Indian English from December 2024|Category:Use dmy dates from December 2024|Category:Wikipedia pages semi-protected against vandalism|Category:Zee Cine Awards winners,Hrithik Roshan,ja,https://ja.wikipedia.org/wiki/%E3%83%AA%E3%83%86%E3%82%A3%E3%82%AF%E3%83%BB%E3%83%AD%E3%83%BC%E3%82%B7%E3%83%A3%E3%83%B3
33,"エリザベス・チェイス・“リジー”・オルセン（Elizabeth Chase ""Lizzie"" Olsen, 1989年2月16日 - ）は、アメリカ合衆国の女優。ファッションデザイナーのアシュレー・オルセンとメアリー＝ケイト・オルセンは実姉である。愛称は「リジー」。","Category:1989 births|Category:20th-century American actresses|Category:21st-century American actresses|Category:21st-century atheists|Category:Actresses from Los Angeles|Category:Actual play performers|Category:All Wikipedia articles written in American English|Category:American atheists|Category:American child actresses|Category:American film actresses|Category:American people of English descent|Category:American people of Norwegian descent|Category:American television actresses|Category:Articles with hCards|Category:Articles with short description|Category:Campbell Hall School alumni|Category:Commons category link is on Wikidata|Category:Good articles|Category:Living people|Category:Olsen family|Category:People from Sherman Oaks, Los Angeles|Category:Rotten Tomatoes ID same as Wikidata|Category:Short description matches Wikidata|Category:Tisch School of the Arts alumni|Category:Use American English from February 2024|Category:Use mdy dates from March 2024|Category:Wikipedia indefinitely move-protected pages|Category:Wikipedia temporarily semi-protected biographies of living people",Elizabeth Olsen,ja,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AA%E3%82%B6%E3%83%99%E3%82%B9%E3%83%BB%E3%82%AA%E3%83%AB%E3%82%BB%E3%83%B3
34,アリス・アン・マンロー（Alice Ann Munro 1931年7月10日 - 2024年5月13日）は、カナダの作家。短篇小説の名手として知られる。2013年ノーベル文学賞受賞。,"Category:1931 births|Category:2024 deaths|Category:20th-century Canadian short story writers|Category:20th-century Canadian women writers|Category:21st-century Canadian short story writers|Category:21st-century Canadian women writers|Category:All Wikipedia articles written in Canadian English|Category:All articles lacking reliable references|Category:Articles lacking reliable references from August 2024|Category:Articles with short description|Category:Canadian Nobel laureates|Category:Canadian people of Irish descent|Category:Canadian people of Scottish descent|Category:Canadian women short story writers|Category:Chevaliers of the Ordre des Arts et des Lettres|Category:Commons category link is on Wikidata|Category:Fellows of the Royal Society of Literature|Category:Governor General's Award–winning fiction writers|Category:Guardian topic template using Wikidata|Category:Members of the Order of Ontario|Category:National Book Critics Circle Award winners|Category:Nobel laureates in Literature|Category:Nobelprize template using Wikidata property P8024|Category:O. Henry Award winners|Category:PEN/Malamud Award winners|Category:People from Wingham, Ontario|Category:Short description is different from Wikidata|Category:The New Yorker people|Category:University of Western Ontario alumni|Category:Use Canadian English from October 2015|Category:Use dmy dates from May 2024|Category:Webarchive template wayback links|Category:Women Nobel laureates|Category:Writers from Ontario",Alice Munro,ja,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%BB%E3%83%9E%E3%83%B3%E3%83%AD%E3%83%BC
35,"パトリック・モディアノ (Patrick Modiano, 1945年7月30日 - ) は、フランスのパリ近郊ブローニュ＝ビヤンクール（オー＝ド＝セーヌ県）生まれの作家である。30作以上の小説を発表し、アカデミー・フランセーズ賞 (1972)、ゴンクール賞 (1978)、オーストリア国家賞 (2012) などの多くの権威ある文学賞を受賞し、2014年10月に、「最も捉え難い人々の運命を召喚し、占領下の生活世界を明らかにした記憶の芸術」であるという理由により、ノーベル文学賞を受賞した。この際、スウェーデン・アカデミー事務局長のペーテル・エングルンドは、パトリック・モディアノを「現代のマルセル・プルースト」であると評した。彼の作品は36か国語に翻訳されている（2014年受賞時）。2015年1月にレジオンドヌール勲章オフィシエを贈られた。モディアノ独自の作品世界・作風は「モディアネスク (modianesque)」と表現されるが、レジオンドヌール勲章の授与式で、フランソワ・オランド大統領はこの言葉を「現実が消えてしまう状況、過去と現在が交錯する状況、言葉が信じられなくなる状況」と定義した。",Category:1945 births|Category:20th-century French novelists|Category:21st-century French novelists|Category:All articles with unsourced statements|Category:Articles with short description|Category:Articles with unsourced statements from July 2023|Category:Commandeurs of the Ordre des Arts et des Lettres|Category:French Nobel laureates|Category:French male novelists|Category:French people of Flemish descent|Category:French people of Greek-Jewish descent|Category:French people of Italian-Jewish descent|Category:Grand Prix du roman de l'Académie française winners|Category:Living people|Category:Lycée Henri-IV alumni|Category:Nobel laureates in Literature|Category:Nobelprize template using Wikidata property P8024|Category:Officers of the Legion of Honour|Category:Pages with French IPA|Category:Prix Fénéon winners|Category:Prix Goncourt winners|Category:Prix des libraires winners|Category:Roger Nimier Prize winners|Category:Short description is different from Wikidata|Category:Webarchive template wayback links|Category:Writers from Boulogne-Billancourt,Patrick Modiano,ja,https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E3%83%BB%E3%83%A2%E3%83%87%E3%82%A3%E3%82%A2%E3%83%8E
36,徳仁（なるひと、1960年〈昭和35年〉2月23日 - ）は、日本の第126代天皇（在位: 2019年〈令和元年〉5月1日 - ）。御称号は浩宮（ひろのみや）、お印は梓（あずさ）。敬称は陛下。勲等は大勲位。明仁（第125代天皇・上皇）と美智子（上皇后）の第1皇男子。皇后は、雅子（旧姓名：小和田雅子）。皇女子に愛子内親王（第1子・第1皇女子）、皇弟に秋篠宮文仁親王（皇嗣）、皇妹に黒田清子（清子内親王）がいる。小室眞子、佳子内親王は姪、悠仁親王は甥にあたる。第二次世界大戦後、かつ日本国憲法及び現皇室典範下の生まれで即位した最初の天皇。元号法並びに「元号を改める政令 (平成三十一年政令第百四十三号)」に基づいて、即位の日に「令和（れいわ）」と改元された。また、学位を所持し、海外留学の経験を有する。,"Category:1960 births|Category:20th-century Shintoists|Category:21st-century Japanese monarchs|Category:21st-century Shintoists|Category:All articles to be expanded|Category:Alumni of Merton College, Oxford|Category:Articles containing Japanese-language text|Category:Articles to be expanded from June 2021|Category:Articles with short description|Category:CS1 Danish-language sources (da)|Category:CS1 German-language sources (de)|Category:CS1 Hungarian-language sources (hu)|Category:CS1 Japanese-language sources (ja)|Category:CS1 Portuguese-language sources (pt)|Category:CS1 Spanish-language sources (es)|Category:CS1 uses Japanese-language script (ja)|Category:Children of Akihito|Category:Commons category link is on Wikidata|Category:Dynamic lists|Category:Emperors of Japan|Category:Gakushuin University alumni|Category:Grand Crosses of the Order of Christ (Portugal)|Category:Grand Crosses of the Order of Merit of the Republic of Hungary (civil)|Category:Grand Crosses of the Order of the Crown (Netherlands)|Category:Japanese Shintoists|Category:Knights Grand Cross of the Order of Merit of the Italian Republic|Category:Knights Grand Cross of the Order of the Crown of Tonga|Category:Knights of the Garter|Category:Living people|Category:Pages including recorded pronunciations|Category:Pages using multiple image with auto scaled images|Category:Pages using the Phonos extension|Category:Pages with Japanese IPA|Category:People from Chiyoda, Tokyo|Category:Recipients of the Grand Decoration with Sash for Services to the Republic of Austria|Category:Reiwa era|Category:Short description matches Wikidata|Category:Sons of Japanese emperors|Category:University of Tokyo alumni|Category:Use dmy dates from September 2020|Category:Wikipedia indefinitely semi-protected biographies of living people",Naruhito,ja,https://ja.wikipedia.org/wiki/%E5%BE%B3%E4%BB%81
37,ビームラーオ・ラームジー・アンベードカル（マラーティー語: भीमराव रामजी आंबेडकर、Bhimrao Ramji Ambedkar、1891年4月14日 - 1956年12月6日）は、インドの政治家（ネルー内閣の法務大臣）、思想家。インド憲法の草案作成者。反カースト（不可触民改革）運動の指導者。カースト制度の最下層（ダリット）の家庭に生まれ、同国で長く続く身分差別の因習を打破するための活動に尽力したほか、死の2か月前に約50万人の人々と共に仏教に集団改宗し、仏教復興運動を始めたことで知られている。ナーグプルの集団改宗の場所はディークシャーブーミと呼ばれ、多くの巡礼者が訪れており、「バーバーサーヒブ・アンベードカル」（Babasaheb、baba は父、saheb は敬称で、「師父」といった意味）の敬称でも呼ばれる。1952年6月15日にコロンビア大学より、1953年1月12日にオスマニア大学より名誉法学博士(LL.D.)を授与されている。,Category:1891 births|Category:1956 deaths|Category:20th-century Indian economists|Category:20th-century Indian lawyers|Category:20th-century Indian philosophers|Category:20th-century Indian writers|Category:20th-century memoirists|Category:Activists from Madhya Pradesh|Category:Activists from Maharashtra|Category:All Wikipedia articles written in Indian English|Category:All articles with dead external links|Category:All articles with unsourced statements|Category:Alumni of the Inns of Court School of Law|Category:Alumni of the London School of Economics|Category:Alumni of the University of London|Category:Ambedkar family|Category:Anti-caste activists|Category:Articles containing French-language text|Category:Articles containing Latin-language text|Category:Articles with Project Gutenberg links|Category:Articles with dead external links from February 2023|Category:Articles with permanently dead external links|Category:Articles with short description|Category:Articles with unsourced statements from February 2022|Category:Articles with unsourced statements from July 2020|Category:B. R. Ambedkar|Category:Buddhist revivalists|Category:CS1 French-language sources (fr)|Category:CS1 Marathi-language sources (mr)|Category:Columbia University alumni|Category:Columbia University fellows|Category:Converts to Buddhism from Hinduism|Category:Dalit leaders|Category:Elphinstone College alumni|Category:First Nehru ministry|Category:Founders of Indian schools and colleges|Category:Founders of new religious movements|Category:India MPs 1952–1957|Category:Indian Buddhists|Category:Indian anti-caste leaders|Category:Indian barristers|Category:Indian civil rights activists|Category:Indian human rights activists|Category:Indian independence activists from Maharashtra|Category:Indian male writers|Category:Indian memoirists|Category:Indian nationalists|Category:Indian political party founders|Category:Indian political philosophers|Category:Indian social reformers|Category:Indian women's rights activists|Category:Indigenous Aryanism|Category:Law ministers of India|Category:Marathi-language writers|Category:Marathi politicians|Category:Members of Gray's Inn|Category:Members of the Bombay Legislative Council|Category:Members of the Cabinet of India|Category:Members of the Constituent Assembly of India|Category:Members of the Council of the Governor General of India|Category:Navayana Buddhists|Category:Pages containing links to subscription-only content|Category:Pages using Sister project links with hidden wikidata|Category:Pages using Sister project links with wikidata namespace mismatch|Category:Pages using gadget WikiMiniAtlas|Category:Pages with missing ISBNs|Category:People from Ratnagiri district|Category:Rajya Sabha members from Maharashtra|Category:Recipients of the Bharat Ratna|Category:Republican Party of India|Category:Republican Party of India politicians|Category:Scheduled Castes Federation politician|Category:Scholars from Madhya Pradesh|Category:Short description is different from Wikidata|Category:University of Mumbai alumni|Category:Use Indian English from October 2016|Category:Use dmy dates from October 2024|Category:Webarchive template wayback links|Category:Wikipedia extended-confirmed-protected pages|Category:Wikipedia indefinitely move-protected pages,Bhimrao Ramji Ambedkar,ja,https://ja.wikipedia.org/wiki/%E3%83%93%E3%83%BC%E3%83%A0%E3%83%A9%E3%83%BC%E3%82%AA%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%99%E3%83%BC%E3%83%89%E3%82%AB%E3%83%AB
